cell_type,tissue,deg_set,overlap,markers_total,deg_total,odds_ratio,p_value,pct_markers_in_deg,p_adjust,significant,neg_log10_p
Cluster_0,leaf,leaf_light_down,29,100,2877,2.7016834150973255,2.486978096646602e-05,29.0,0.0002586457220512466,True,3.5872947003397697
Cluster_1,leaf,leaf_light_down,19,100,2877,1.545291967965166,0.06360045159604519,19.0,0.20248307038740918,False,0.6936112822996291
Cluster_10,leaf,leaf_light_down,17,100,2877,1.3482264723228579,0.16385476637599825,17.0,0.44844462376588995,False,0.3482911782112487
Cluster_11,leaf,leaf_light_down,23,100,2877,1.9709680648713586,0.005045223129666297,23.0,0.0245954627571232,True,1.6091450018920281
Cluster_12,leaf,leaf_light_down,2,100,2877,0.13352972493345164,0.9999888801433763,2.0,1.0,False,-0.0
Cluster_2,leaf,leaf_light_down,31,100,2877,2.974120810290568,2.9014999418369573e-06,31.0,3.828913949478828e-05,True,4.416924393821141
Cluster_3,leaf,leaf_light_down,20,100,2877,1.6476198809940497,0.03653629990578446,20.0,0.1325502973326134,False,0.8776192937342189
Cluster_4,leaf,leaf_light_down,23,100,2877,1.9709680648713586,0.005045223129666297,23.0,0.0245954627571232,True,1.6091450018920281
Cluster_5,leaf,leaf_light_down,27,100,2877,2.444470079307859,0.00017719800093065274,27.0,0.0012564949156900831,True,2.900839264407027
Cluster_6,leaf,leaf_light_down,28,100,2877,2.5712530712530715,6.795950145543386e-05,28.0,0.0006236283662969225,True,3.205074138758944
Cluster_7,leaf,leaf_light_down,16,100,2877,1.2533080341538922,0.24236812137672473,16.0,0.5907722958557665,False,0.228579879032186
Cluster_8,leaf,leaf_light_down,21,100,2877,1.7526061057334326,0.019898940014149248,21.0,0.08169038532124429,True,1.0878290554338792
Cluster_9,leaf,leaf_light_down,6,100,2877,0.4183063207274506,0.9937713033224072,6.0,1.0,False,-0.0
Cluster_0,leaf,leaf_cond_up,1,100,920,0.22825644914872337,0.9867624969428975,1.0,1.0,False,-0.0
Cluster_1,leaf,leaf_cond_up,3,100,920,0.7004800503659401,0.7996653941116345,3.0,1.0,False,-0.0
Cluster_10,leaf,leaf_cond_up,16,100,920,4.3788453434471135,4.334957711980821e-06,16.0,5.201949254376986e-05,True,4.283833888712916
Cluster_11,leaf,leaf_cond_up,8,100,920,1.9807398932112892,0.06092820219507951,8.0,0.1980166571340084,False,0.7032982754096313
Cluster_12,leaf,leaf_cond_up,1,100,920,0.22825644914872337,0.9867624969428975,1.0,1.0,False,-0.0
Cluster_2,leaf,leaf_cond_up,13,100,920,3.423272377041909,0.00029625590689024117,13.0,0.0019256633947865676,True,2.71541962508409
Cluster_3,leaf,leaf_cond_up,9,100,920,2.2554010204943244,0.025528671644746894,9.0,0.09956181941451289,True,1.001907175598364
Cluster_4,leaf,leaf_cond_up,12,100,920,3.120444533440128,0.001033263119168753,12.0,0.006447561863613018,True,2.190604482164531
Cluster_5,leaf,leaf_cond_up,3,100,920,0.7004800503659401,0.7996653941116345,3.0,1.0,False,-0.0
Cluster_6,leaf,leaf_cond_up,3,100,920,0.7004800503659401,0.7996653941116345,3.0,1.0,False,-0.0
Cluster_7,leaf,leaf_cond_up,4,100,920,0.944778020378457,0.6141935078052952,4.0,1.0,False,-0.0
Cluster_8,leaf,leaf_cond_up,8,100,920,1.9807398932112892,0.06092820219507951,8.0,0.1980166571340084,False,0.7032982754096313
Cluster_9,leaf,leaf_cond_up,9,100,920,2.2554010204943244,0.025528671644746894,9.0,0.09956181941451289,True,1.001907175598364
Cluster_0,leaf,leaf_cond_down,16,100,817,4.966411033826764,9.362504347594855e-07,16.0,1.4605506782247975e-05,True,4.835483369267947
Cluster_1,leaf,leaf_cond_down,13,100,817,3.8809687196202893,9.237390313659946e-05,13.0,0.0007987411618613167,True,3.0975939343122243
Cluster_10,leaf,leaf_cond_down,9,100,817,2.5555162659123054,0.012813682244115379,9.0,0.05402525486708106,True,1.2674031756320263
Cluster_11,leaf,leaf_cond_down,10,100,817,2.8747074211758226,0.004306750000022351,10.0,0.022395100000116224,True,1.64984699397385
