"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","deg_set"
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","1/3","193/11892",0.00518134715025907,20.5388601036269,4.34711031043269,0.0479062513239517,0.057487501588742,0.0100855265945161,"101244003",1,"root_cond_Endodermis_down"
"Metabolism","Biosynthesis of other secondary metabolites","sly00960","Tropane, piperidine and pyridine alkaloid biosynthesis","2/5","40/11892",0.05,118.92,15.3207386836242,0.000109615746638211,0.00109615746638211,0.0004615399858451,"101245061/101254319",2,"root_cond_Endodermis_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00950","Isoquinoline alkaloid biosynthesis","1/5","30/11892",0.0333333333333333,79.28,8.80421308086847,0.012552142215713,0.0464319845515898,0.0195503092848799,"101254319",1,"root_cond_Endodermis_up"
"Metabolism","Amino acid metabolism","sly00350","Tyrosine metabolism","1/5","53/11892",0.0188679245283019,44.8754716981132,6.56538628246232,0.0220898251989441,0.0464319845515898,0.0195503092848799,"101254319",1,"root_cond_Endodermis_up"
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","1/5","60/11892",0.0166666666666667,39.64,6.15377655419809,0.0249779217889513,0.0464319845515898,0.0195503092848799,"101254319",1,"root_cond_Endodermis_up"
"Metabolism","Metabolism of other amino acids","sly00410","beta-Alanine metabolism","1/5","60/11892",0.0166666666666667,39.64,6.15377655419809,0.0249779217889513,0.0464319845515898,0.0195503092848799,"101254319",1,"root_cond_Endodermis_up"
"Metabolism","Amino acid metabolism","sly00260","Glycine, serine and threonine metabolism","1/5","67/11892",0.0149253731343284,35.4985074626866,5.80757989693402,0.0278591907309539,0.0464319845515898,0.0195503092848799,"101254319",1,"root_cond_Endodermis_up"
"Cellular Processes","Transport and catabolism","sly04144","Endocytosis","1/5","167/11892",0.00598802395209581,14.2419161676647,3.53435935641678,0.0682818592089283,0.0872980480880497,0.0367570728791788,"101268402",1,"root_cond_Endodermis_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00940","Phenylpropanoid biosynthesis","1/5","179/11892",0.00558659217877095,13.2871508379888,3.39704808211895,0.0730407740201362,0.0872980480880497,0.0367570728791788,"101249975",1,"root_cond_Endodermis_up"
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","1/5","193/11892",0.00518134715025907,12.3233160621762,3.25263981725144,0.0785682432792447,0.0872980480880497,0.0367570728791788,"101245906",1,"root_cond_Endodermis_up"
"Cellular Processes","Cell motility","sly04814","Motor proteins","1/2","80/11892",0.0125,74.325,8.53431377243681,0.0134097297000053,0.0402291891000159,0.014115504947374,"101245463",1,"root_cond_Epidermis_down"
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","1/2","193/11892",0.00518134715025907,30.8082901554404,5.41470261144126,0.0321967451689995,0.0482951177534993,0.016945655352105,"101244003",1,"root_cond_Epidermis_down"
"Environmental Information Processing","Signal transduction","sly04075","Plant hormone signal transduction","1/2","437/11892",0.0022883295194508,13.6064073226545,3.48231270387839,0.0721473922946752,0.0721473922946752,0.0253148744893597,"101244003",1,"root_cond_Epidermis_down"
