solyc_nover,leaf_light_lfc,leaf_light_padj,leaf_int_lfc,leaf_int_padj,root_light_lfc,root_light_padj,root_int_lfc,root_int_padj,Mesophyll,Epidermis,Vascular,Trichome,Proliferating,Uncharacterized
Solyc07g005050,0.0171408941692683,0.935774349081591,0.16588686496794,0.521012575061906,-0.0026983757574161,0.999960910744343,4.3985926542677e-05,0.999973171687554,0.739398624,0.62412465,0.56200445,1.2611619,0.53709877,0.66278565
Solyc07g005060,0.0293192745726826,0.899505843475156,0.200713214946251,0.452535392107673,-0.0007499958397888,0.999960910744343,0.0004430382598446,0.999973171687554,0.0873799838,0.0556645535,0.15444688,0.13612266,0.030992433,0.12718767
Solyc07g005100,0.0044617176115878,0.990736371752309,0.395078125723939,0.329236656826746,-0.0156708798573987,0.999960910744343,0.142237811329459,0.358985193341704,0.13916870604,0.131086967,0.018706983,0.033018097,0.20375629,0.003778113
Solyc07g005110,-0.130951177797406,0.714072306550534,0.743963527765919,0.168720907305263,0.0924560339235791,0.641751656880938,-0.0034630854262114,0.999973171687554,0.00110870847,0.0021629519749999998,0.00078206573,0.005926286,0.037685737,0.0
Solyc07g005130,-0.96186980493235,0.0067374329275093,1.57501951231339,0.0031804350307133,0.0071561839575904,0.999960910744343,0.000107417559007,0.999973171687554,0.037382663,0.05694865375,0.031804614,0.024680536,0.013920086,0.0
Solyc07g005150,0.248438728378022,0.493423164178569,0.284532917445751,0.554923711292492,-0.0330421685122362,0.999960910744343,0.0021846132708656,0.999973171687554,0.004669700992,0.002271881975,0.0033658105,0.0029981444,0.0014664163,0.0
Solyc07g005190,-1.18525093185213,3.51019333062608e-13,1.40902967082374,6.55865466711664e-10,-0.0028396025226868,0.999960910744343,-0.0007306369620013,0.999973171687554,0.024702535399999996,0.0018636235499999998,0.023230458,0.012273788,0.00479155,0.027521059
Solyc07g005210,0.0363748070327546,0.902790807861179,-0.35767172662897,0.304336367586844,-0.0014135098207556,0.999960910744343,0.0012705626283095,0.999973171687554,0.7684450540000001,0.36803205250000004,0.16916494,0.26101175,0.066549405,0.14173678
Solyc07g005240,0.0564812958542296,0.840570370483497,-0.0456900531899271,0.902682409806432,0.0006198349461028,0.999960910744343,-0.0003655772509762,0.999973171687554,0.022071527900000002,0.02185468775,0.0317317,0.020680014,0.00947771,0.014163454
Solyc07g005320,-0.410378404404372,0.0227823298261479,0.265597395545144,0.304424831055876,0.0014640009027541,0.999960910744343,0.0001609010391251,0.999973171687554,0.19862304399999997,0.1495380215,0.16677125,0.21452014,0.11981586,0.24644712
Solyc07g005330,0.122121156548866,0.63518319854545,-1.24303772325025,0.003569176803829,-0.942182223880962,0.0764746000131258,-0.0006424311802145,0.999973171687554,1.271031228,1.2667163,0.9587057,1.3499963,0.6677847,1.0057964
